Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Opitter,Belgium,51.1167,5.65,18.68,Scattered clouds,3.81,✅ Safe,2025-08-23 18:35:39
Orroir,Belgium,50.75,3.4667,19.86,Overcast clouds,5.2,⚠ Moderate,2025-08-23 18:35:40
Overpelt,Belgium,51.2167,5.4167,18.8,Scattered clouds,4.7,✅ Safe,2025-08-23 18:35:42
Pamel,Belgium,50.8333,4.0667,19.27,Overcast clouds,4.76,✅ Safe,2025-08-23 18:35:43
Peronnes,Belgium,50.55,3.4333,19.56,Overcast clouds,3.6,✅ Safe,2025-08-23 18:35:45
Pollinkhove,Belgium,50.9667,2.7333,20.74,Overcast clouds,5.58,⚠ Moderate,2025-08-23 18:35:46
Pont-a-Celles,Belgium,50.5,4.35,18.01,Overcast clouds,2.87,✅ Safe,2025-08-23 18:35:48
Richelle,Belgium,50.7167,5.6833,18.09,Broken clouds,0.79,✅ Safe,2025-08-23 18:35:49
Riviere,Belgium,50.35,4.8667,17.33,Overcast clouds,1.63,✅ Safe,2025-08-23 18:35:51
Rocourt,Belgium,50.6833,5.55,17.47,Scattered clouds,1.15,✅ Safe,2025-08-23 18:35:52
Ronquieres,Belgium,50.6,4.2167,18.43,Overcast clouds,3.32,✅ Safe,2025-08-23 18:35:54
Roselies,Belgium,50.4333,4.5833,17.98,Overcast clouds,1.7,✅ Safe,2025-08-23 18:35:55
Rupelmonde,Belgium,51.1333,4.2833,19.25,Overcast clouds,3.7,✅ Safe,2025-08-23 18:35:57
Samson,Belgium,50.4667,4.9833,17.98,Overcast clouds,0.95,✅ Safe,2025-08-23 18:35:58
Sas-Slijkens,Belgium,51.2167,2.95,20.6,Few clouds,6.21,⚠ Moderate,2025-08-23 18:36:00
Schelderode,Belgium,50.9667,3.7167,19.68,Broken clouds,4.97,✅ Safe,2025-08-23 18:36:02
Sint-Jacobs-Kapelle,Belgium,51.0,2.8167,20.73,Overcast clouds,5.76,⚠ Moderate,2025-08-23 18:36:03
Solre-sur-Sambre,Belgium,50.3,4.1333,18.14,Overcast clouds,3.01,✅ Safe,2025-08-23 18:36:05
Stasegem,Belgium,50.8333,3.3,20.18,Overcast clouds,5.42,⚠ Moderate,2025-08-23 18:36:06
Statte,Belgium,50.5333,5.2167,18.09,Overcast clouds,1.44,✅ Safe,2025-08-23 18:36:08
Teralfene,Belgium,50.9,4.1,19.05,Broken clouds,4.79,✅ Safe,2025-08-23 18:36:09
Thorntonbank,Belgium,51.6333,2.9167,18.74,Few clouds,5.1,⚠ Moderate,2025-08-23 18:36:11
Tilleur,Belgium,50.6167,5.5333,17.52,Broken clouds,1.14,✅ Safe,2025-08-23 18:36:12
Tisselt,Belgium,51.0333,4.3667,19.22,Broken clouds,3.63,✅ Safe,2025-08-23 18:36:14
Val Saint-Lambert,Belgium,50.5833,5.4833,17.34,Broken clouds,1.25,✅ Safe,2025-08-23 18:36:15
Vaulx,Belgium,50.5903852,3.4334752,19.73,Overcast clouds,3.91,✅ Safe,2025-08-23 18:36:17
Vezin,Belgium,50.5,5.0167,17.26,Overcast clouds,1.01,✅ Safe,2025-08-23 18:36:18
