Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Grado,Italy,45.6833,13.3833,23.98,Scattered clouds,0.55,✅ Safe,2025-08-23 21:52:49
Iesolo,Italy,45.5333,12.65,24.63,Scattered clouds,1.13,✅ Safe,2025-08-23 21:52:51
Imperia,Italy,43.8833,8.05,26.95,Few clouds,2.39,✅ Safe,2025-08-23 21:52:52
Ischia,Italy,40.7333,13.95,22.95,Clear sky,3.21,✅ Safe,2025-08-23 21:52:54
Isola del Giglio,Italy,42.3667,10.9,25.19,Clear sky,2.88,✅ Safe,2025-08-23 21:52:56
Isola delle Femmine,Italy,38.2,13.25,25.76,Clear sky,4.34,✅ Safe,2025-08-23 21:52:58
Isole Tremiti,Italy,42.1167,15.4833,24.06,Scattered clouds,1.61,✅ Safe,2025-08-23 21:53:00
La Maddalena,Italy,41.2167,9.4,25.06,Clear sky,11.37,⚡ Dangerous,2025-08-23 21:53:02
La Spezia,Italy,44.1167,9.8333,26.42,Clear sky,1.15,✅ Safe,2025-08-23 21:53:04
Lacco Ameno,Italy,40.75,13.9,25.43,Clear sky,3.32,✅ Safe,2025-08-23 21:53:06
Ladispoli,Italy,41.9333,12.0833,26.82,Clear sky,4.52,✅ Safe,2025-08-23 21:53:08
Lampedusa,Italy,35.5,12.6,25.5,Clear sky,6.17,⚠ Moderate,2025-08-23 21:53:10
Lavagna,Italy,44.3,9.3333,24.49,Clear sky,1.66,✅ Safe,2025-08-23 21:53:12
Lerici,Italy,44.0667,9.9167,24.46,Clear sky,0.99,✅ Safe,2025-08-23 21:53:14
Lesina,Italy,41.8667,15.35,24.71,Broken clouds,2.84,✅ Safe,2025-08-23 21:53:16
Leuca,Italy,39.8,18.35,25.62,Clear sky,2.04,✅ Safe,2025-08-23 21:53:18
Levanto,Italy,44.1667,9.6333,26.7,Clear sky,1.7,✅ Safe,2025-08-23 21:53:19
Levanzo,Italy,37.9833,12.3333,25.69,Clear sky,4.36,✅ Safe,2025-08-23 21:53:21
Licata,Italy,37.1,13.9333,26.94,Clear sky,10.74,⚡ Dangerous,2025-08-23 21:53:22
Lignano Sabbiadoro,Italy,45.7,13.15,24.25,Scattered clouds,0.94,✅ Safe,2025-08-23 21:53:23
Lipari,Italy,38.45,14.95,26.89,Light rain,8.4,⚠ Moderate,2025-08-23 21:53:26
Livorno,Italy,43.55,10.3167,26.27,Clear sky,4.01,✅ Safe,2025-08-23 21:53:27
Loano,Italy,44.1333,8.25,25.66,Few clouds,2.11,✅ Safe,2025-08-23 21:53:29
