Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Fresenburg,Germany,52.8833,7.3,18.48,Overcast clouds,5.75,⚠ Moderate,2025-08-23 18:54:59
Friedrichsfeld,Germany,51.6333,6.65,18.94,Scattered clouds,4.14,✅ Safe,2025-08-23 18:55:01
Friesoythe,Germany,53.0167,7.85,18.26,Overcast clouds,5.45,⚠ Moderate,2025-08-23 18:55:03
Fritzdorf,Germany,50.6,7.1,17.61,Overcast clouds,2.86,✅ Safe,2025-08-23 18:55:05
Gager,Germany,54.3,13.6833,15.8,Overcast clouds,9.72,⚠ Moderate,2025-08-23 18:55:07
Gau Odernheim,Germany,49.7833,8.1833,18.96,Overcast clouds,4.55,✅ Safe,2025-08-23 18:55:08
Gaussig,Germany,51.1167,14.3167,14.97,Light rain,6.92,⚠ Moderate,2025-08-23 18:55:10
Geeste,Germany,52.6,7.2667,18.43,Overcast clouds,5.29,⚠ Moderate,2025-08-23 18:55:12
Gelbensande,Germany,54.2029047,12.3017861,17.43,Light rain,8.97,⚠ Moderate,2025-08-23 18:55:14
Gelsenkirchen,Germany,51.5167,7.1167,18.7,Few clouds,3.5,✅ Safe,2025-08-23 18:55:15
Gersfeld,Germany,50.45,9.95,15.58,Few clouds,5.24,⚠ Moderate,2025-08-23 18:55:17
Gersheim,Germany,49.15,7.2167,19.3,Overcast clouds,3.23,✅ Safe,2025-08-23 18:55:19
Gilserberg,Germany,50.95,9.0667,16.53,Scattered clouds,4.88,✅ Safe,2025-08-23 18:55:21
Gimmeldingen,Germany,49.3667,8.15,19.52,Overcast clouds,3.76,✅ Safe,2025-08-23 18:55:22
Ginepp,Germany,50.5833,12.15,15.87,Overcast clouds,5.85,⚠ Moderate,2025-08-23 18:55:24
Gmund am Tegernsee,Germany,47.75,11.7333,16.6,Overcast clouds,2.08,✅ Safe,2025-08-23 18:55:26
Godorf,Germany,50.85,6.9667,18.76,Overcast clouds,3.6,✅ Safe,2025-08-23 18:55:27
Gohlis,Germany,51.35,13.2833,16.48,Overcast clouds,6.92,⚠ Moderate,2025-08-23 18:55:29
Goldkronach,Germany,50.0167,11.6833,16.52,Overcast clouds,4.79,✅ Safe,2025-08-23 18:55:31
Gossenheim,Germany,50.0167,9.7833,18.42,Broken clouds,5.56,⚠ Moderate,2025-08-23 18:55:33
Graal-Muritz,Germany,54.25,12.2333,17.55,Clear sky,9.47,⚠ Moderate,2025-08-23 18:55:34
Grafenhainichen,Germany,51.7167,12.45,16.75,Overcast clouds,6.44,⚠ Moderate,2025-08-23 18:55:36
Grambin,Germany,53.7667,14.0167,15.78,Overcast clouds,6.5,⚠ Moderate,2025-08-23 18:55:37
Grau Rheindorf,Germany,50.75,7.0667,18.68,Overcast clouds,2.78,✅ Safe,2025-08-23 18:55:39
Grauelsbaum,Germany,48.7333,7.9833,21.1,Overcast clouds,2.67,✅ Safe,2025-08-23 18:55:41
Greetsiel,Germany,53.5,7.1,18.36,Scattered clouds,7.26,⚠ Moderate,2025-08-23 18:55:43
Grieth,Germany,51.7833,6.3167,19.01,Scattered clouds,4.53,✅ Safe,2025-08-23 18:55:44
Grimberg,Germany,51.05,7.15,17.81,Overcast clouds,3.64,✅ Safe,2025-08-23 18:55:46
Grimmen,Germany,54.1167,13.05,16.24,Overcast clouds,7.89,⚠ Moderate,2025-08-23 18:55:48
Grode,Germany,54.6333,8.7167,16.59,Clear sky,7.56,⚠ Moderate,2025-08-23 18:55:49
Gronau,Germany,52.2167,7.0333,18.52,Overcast clouds,5.1,⚠ Moderate,2025-08-23 18:55:51
Groppenbruch,Germany,51.5667,7.3667,18.46,Scattered clouds,3.34,✅ Safe,2025-08-23 18:55:53
Gross Krotzenburg,Germany,50.0833,8.9833,18.85,Overcast clouds,4.67,✅ Safe,2025-08-23 18:55:55
Grosseichholzheim,Germany,49.45,9.2833,18.26,Broken clouds,5.62,⚠ Moderate,2025-08-23 18:55:56
Grossenbrode,Germany,54.3833,11.0833,17.08,Clear sky,9.78,⚠ Moderate,2025-08-23 18:55:58
Grossensiel,Germany,53.4667,8.4833,18.23,Clear sky,7.48,⚠ Moderate,2025-08-23 18:56:00
Grosslehna,Germany,51.2833,12.15,17.1,Scattered clouds,7.31,⚠ Moderate,2025-08-23 18:56:01
Grosszerlang,Germany,53.1833,12.95,15.94,Scattered clouds,6.53,⚠ Moderate,2025-08-23 18:56:03
Gudderath,Germany,51.1167,6.4333,18.8,Overcast clouds,3.67,✅ Safe,2025-08-23 18:56:05
Gutenberg,Germany,49.8833,7.8,17.95,Overcast clouds,3.86,✅ Safe,2025-08-23 18:56:07
Hallig,Germany,54.5333,9.6667,18.62,Clear sky,4.73,✅ Safe,2025-08-23 18:56:09
Hamburg,Germany,53.5167,9.9333,18.17,Few clouds,5.66,⚠ Moderate,2025-08-23 18:56:10
Hamburg-Mitte,Germany,53.55,10.0167,18.13,Few clouds,5.75,⚠ Moderate,2025-08-23 18:56:12
