Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Hydra (Idhra),Greece,37.35,23.4667,30.74,Clear sky,3.81,✅ Safe,2025-08-23 21:23:28
Ierapetra,Greece,35.0,25.7333,30.58,Clear sky,0.64,✅ Safe,2025-08-23 21:23:29
Ierissos,Greece,40.3833,23.8833,27.61,Clear sky,2.62,✅ Safe,2025-08-23 21:23:31
Igoumenitsa,Greece,39.5,20.2667,27.99,Clear sky,4.16,✅ Safe,2025-08-23 21:23:33
Inousses,Greece,38.5167,26.2167,26.59,Clear sky,6.64,⚠ Moderate,2025-08-23 21:23:35
Ios,Greece,36.7167,25.2667,29.5,Clear sky,3.66,✅ Safe,2025-08-23 21:23:36
Isthmia,Greece,37.9167,23.0,30.69,Clear sky,5.51,⚠ Moderate,2025-08-23 21:23:38
Itea,Greece,38.4333,22.4167,30.08,Clear sky,6.43,⚠ Moderate,2025-08-23 21:23:39
Ithaki (Ithaca),Greece,38.3667,20.7167,27.16,Clear sky,7.54,⚠ Moderate,2025-08-23 21:23:41
Kalamaki,Greece,37.9167,23.0167,30.69,Clear sky,5.51,⚠ Moderate,2025-08-23 21:23:43
Kalamata,Greece,37.0333,22.1167,29.87,Clear sky,4.27,✅ Safe,2025-08-23 21:23:45
Kalamos Island (Lefkada),Greece,38.6167,20.9167,26.38,Clear sky,5.46,⚠ Moderate,2025-08-23 21:23:47
Kalathos Rodou,Greece,36.1167,28.0667,29.16,Clear sky,6.72,⚠ Moderate,2025-08-23 21:23:48
Kalilimenes,Greece,34.9333,24.8,27.96,Clear sky,7.12,⚠ Moderate,2025-08-23 21:23:50
Kalymnos,Greece,36.95,26.9833,27.45,Clear sky,5.65,⚠ Moderate,2025-08-23 21:23:51
Kamiros Skala,Greece,36.2667,27.8167,28.3,Clear sky,4.89,✅ Safe,2025-08-23 21:23:53
Kapsalion (Kythira),Greece,36.15,23.0,28.43,Clear sky,13.06,⚡ Dangerous,2025-08-23 21:23:55
Kardamaina Kos,Greece,36.7833,27.15,28.92,Clear sky,5.16,⚠ Moderate,2025-08-23 21:23:57
Kardamyla,Greece,38.5333,26.1,27.87,Clear sky,4.55,✅ Safe,2025-08-23 21:23:59
Karkinagri Ikarias,Greece,37.5167,26.0167,26.48,Clear sky,4.9,✅ Safe,2025-08-23 21:24:00
Karpathos,Greece,35.5,27.2333,28.83,Clear sky,4.74,✅ Safe,2025-08-23 21:24:02
Karystos,Greece,38.0167,24.4167,31.14,Clear sky,1.18,✅ Safe,2025-08-23 21:24:04
Kassos,Greece,35.4167,26.9167,26.7,Clear sky,5.99,⚠ Moderate,2025-08-23 21:24:05
Kastelli Kissamou,Greece,35.5167,23.6333,29.91,Clear sky,5.7,⚠ Moderate,2025-08-23 21:24:07
Kastellorizou (ex Megisti),Greece,36.15,29.6,29.27,Clear sky,9.31,⚠ Moderate,2025-08-23 21:24:09
Kastos Island,Greece,38.5667,20.9167,27.77,Clear sky,6.5,⚠ Moderate,2025-08-23 21:24:10
Katakolon,Greece,37.65,21.3167,27.0,Clear sky,6.01,⚠ Moderate,2025-08-23 21:24:12
Katapola,Greece,36.8333,25.8667,26.83,Clear sky,4.15,✅ Safe,2025-08-23 21:24:14
Katerini,Greece,40.2667,22.5,29.4,Broken clouds,2.05,✅ Safe,2025-08-23 21:24:15
Kato Achaia,Greece,38.15,21.55,26.29,Clear sky,6.04,⚠ Moderate,2025-08-23 21:24:17
Kavala,Greece,40.9333,24.4,27.0,Clear sky,2.11,✅ Safe,2025-08-23 21:24:19
Kea (Tzia),Greece,37.65,24.3167,30.27,Clear sky,3.62,✅ Safe,2025-08-23 21:24:20
Kefalos Ko,Greece,36.7333,26.9667,27.45,Clear sky,7.15,⚠ Moderate,2025-08-23 21:24:22
Keramoti,Greece,40.8667,24.7,28.43,Clear sky,1.28,✅ Safe,2025-08-23 21:24:24
Keratsinion,Greece,37.9667,23.6,29.53,Clear sky,4.76,✅ Safe,2025-08-23 21:24:26
Kerkira (Corfu),Greece,39.6167,19.9167,26.66,Clear sky,5.54,⚠ Moderate,2025-08-23 21:24:27
Khora Sfakion,Greece,35.2,24.1333,31.1,Clear sky,4.5,✅ Safe,2025-08-23 21:24:29
