Port,Country,Latitude,Longitude,Temperature (°C),Weather,Wind (m/s),Safety Status,Updated_At
Huanghua Pt,China,38.35,117.35,23.69,Broken clouds,4.7,✅ Safe,2025-08-23 16:20:35
Huangjiang,China,25.1,107.3333,25.25,Overcast clouds,1.01,✅ Safe,2025-08-23 16:20:37
Huangpu New Port,China,23.0833,113.5,31.03,Broken clouds,4.81,✅ Safe,2025-08-23 16:20:38
Huangshi Pt,China,30.2,115.1,29.07,Few clouds,3.54,✅ Safe,2025-08-23 16:20:40
Huangxian,China,29.55,121.5667,31.72,Clear sky,2.74,✅ Safe,2025-08-23 16:20:41
Huangyan,China,28.6333,121.25,27.89,Clear sky,2.15,✅ Safe,2025-08-23 16:20:43
Huidong Pt,China,22.9833,114.7,30.13,Few clouds,2.6,✅ Safe,2025-08-23 16:20:45
Huizhou Pt,China,23.0833,114.3667,30.19,Scattered clouds,3.07,✅ Safe,2025-08-23 16:20:46
Hulin,China,45.7833,132.95,19.88,Overcast clouds,2.78,✅ Safe,2025-08-23 16:20:48
Huludao Pt,China,40.75,120.85,27.48,Scattered clouds,1.49,✅ Safe,2025-08-23 16:20:49
Humen Pt,China,22.8333,113.6667,30.99,Broken clouds,7.27,⚠ Moderate,2025-08-23 16:20:51
Huzhou Pt,China,30.8667,120.1,29.01,Few clouds,0.61,✅ Safe,2025-08-23 16:20:52
Jiangkou,China,23.45,111.5,29.44,Light rain,0.93,✅ Safe,2025-08-23 16:20:54
Jiangmen Pt,China,22.5833,113.0667,30.66,Scattered clouds,5.81,⚠ Moderate,2025-08-23 16:20:55
Jiangshan Pt,China,21.6333,108.2667,29.21,Overcast clouds,1.99,✅ Safe,2025-08-23 16:20:57
Jiangyin,China,25.4667,119.3,28.84,Clear sky,0.24,✅ Safe,2025-08-23 16:20:59
Jiangyin Pt,China,31.9,120.2833,30.8,Clear sky,1.07,✅ Safe,2025-08-23 16:21:00
Jiaxing,China,30.7667,120.75,30.02,Clear sky,3.55,✅ Safe,2025-08-23 16:21:02
Jiayin,China,48.8667,130.3667,17.5,Scattered clouds,2.67,✅ Safe,2025-08-23 16:21:03
Jiazi,China,22.8667,116.05,28.5,Moderate rain,6.51,⚠ Moderate,2025-08-23 16:21:05
Jinghai,China,23.0333,116.3,27.78,Moderate rain,3.81,✅ Safe,2025-08-23 16:21:07
